name,operator,output,source,method,wikidata_id,latitude,longitude
"Kearl","Imperial Oil","255 MW","gas","combustion",,,
"Medicine Hat Plant","City of Medicine Hat","255 MW","gas","combustion",,,
"Nipawin Hydroelectric Station","SaskPower","255 MW","hydro","run-of-the-river",Q7039428,,
"Island Cogeneration Plant","Capital Power Corporation","254 MW","gas","combustion",Q16979619,,
"Kelsey Generating Station","Manitoba Hydro","250 MW","hydro","run-of-the-river",Q1323872,,
"Oneida Energy Storage","Oneida LP","250 MW","battery","battery-storage",,,
"Cypress (1&2) Wind Project","EDF Renewables","247 MW","wind",,Q122944892,,
"Centrale La Romaine-4","Hydro-Québec","245 MW","hydro",,,,
"Centrale de Chute-Savane","Rio Tinto Alcan","245 MW","hydro","run-of-the-river",Q61376973,,
"Clover Bar Energy Centre","Capital Power","243 MW","gas","combustion",,,
"Otto Holden Generating Station","Ontario Power Generation","243 MW","hydro",,Q19384947,,
"Centrale Chute-du-Diable","Rio Tinto Alcan","240 MW","hydro",,Q61376971,,
"Wells GS","Brookfield Renewable","239 MW","hydro",,,,
"Little Long Generating Station","Ontario Power Generation and Moose Cree First Nation","233 MW","hydro","run-of-the-river",,,
"Meridian Cogeneration Power Plant","SaskPower","228 MW","gas","combustion",Q6819358,,
"Parc éolien Nicolas-Riou","EDF EN, Régie intermunicipale de l’énergie du Bas-Saint-Laurent et Régie intermunicipale de l’énergie de la Gaspésie-Îles-de-la-Madeleine","224 MW","wind",,,,
"Centrale de Chute-à-Caron","Rio Tinto Alcan","222 MW","hydro",,Q61376989,,
"Wreck Cove Hydro","Nova Scotia Power","216 MW","hydro","water-storage",,,
"Centrale Paugan","Hydro-Québec","213 MW","hydro",,,,
"Parc éolien de Gros-Morne","Cartier Énergie Éolienne","212 MW","wind","wind_turbine",Q3588993,,
"Windrise Wind Project","TransAlta Renewables","206 MW","wind",,,,
"Atikokan Generating Station",,"205 MW","biomass",,Q4815789,,
"Centrale de Shawinigan-2","Hydro-Québec","204 MW","hydro","run-of-the-river",Q2944489,,
"Centrale du Rapide-Blanc","Hydro-Québec","204 MW","hydro","water-storage",Q430663,,
"Kipling Generating Station","Ontario Power Generation and Moose Cree First Nation","204 MW","hydro","run-of-the-river",,,
"Forty Mile Wind Power Project","Suncor","202 MW","wind",,,,
"Whitla Wind 1","Capital Power Energy","202 MW","wind",,,,
"Parc éolien Apuiat","Boralex","200 MW","wind",,,,
"Wuskwatim Hydroelectric Plant",,"200 MW","hydro",,Q12010818,,
"Forrest Kerr Hydroelectric Project","AltaGas","195 MW","hydro","run-of-the-river",,,
"Centrale de Shawinigan-3","Hydro-Québec","194 MW","hydro","run-of-the-river",Q2944497,,
"Chats Falls Power Station","Hydro One Networks Inc.","188 MW","hydro","run-of-the-river",Q2944502,,
"Coteau Creek Hydroelectric Station","SaskPower","186 MW","hydro",,Q5175321,,
"Arrow Lakes Generating Station","Columbia Power Corporation","185 MW","hydro","water-storage",Q2885187,,
"Centrale Manic-1","Hydro-Québec","184 MW","hydro",,Q120596,,
"Point Aconi Generating Station","Nova Scotia Power","183 MW","coal","combustion",,,
"Otter Rapids Generating Station","Ontario Power Generation","182 MW","hydro","run-of-the-river",Q7109418,,
"Stewartville Generating Station","Ontario Power Generation","182 MW","hydro","run-of-the-river",Q65211734,,
"Barrett Chute power plant","Ontario Power Generation","176 MW","hydro",,Q65211656,,
"Centrale des Rapides-des-Îles",,"176 MW","hydro",,,,
"Sir Adam Beck Pump Generating Station",,"174 MW","hydro","water-pumped-storage",,,
"Jordan River Generating Station",,"170 MW","hydro","water-storage",Q6276934,,
"Long Lake Cogeneration Power Station",,"170 MW","oil","combustion",,,
"Centrale Adam-Cunningham","Produits forestiers Resolu","170 MW","hydro","water-storage",,,
"Kent Hills Wind Farm","TransAlta","167 MW","wind",,Q6391767,,
"MacKay River TC Power Plant",,"165 MW","gas","combustion",,,
"Seven Sisters Generating Station","Manitoba Hydro","165 MW","hydro",,Q30626851,,
"Aubrey Falls",,"162 MW","hydro",,Q65211721,,
"Cheakamus/Squamish River Powerhouse","BC Hydro","157 MW","hydro",,Q17762159,,
"Chelsea generating station","Hydro-Québec","153 MW","hydro",,,,
"Centrale de Chelsea","Hydro-Québec","152 MW","hydro","run-of-the-river",Q2944466,,
"Grizzly Bear Wind Power Project","Enel","152 MW","wind",,,,
"Lanfine Wind Farm","Pattern Energy","151 MW","wind",,,,
"Whitla Wind 2","Capital Power Energy","151 MW","wind",,,,
"Centennial Wind Power Facility","SaskPower","150 MW","wind",,,,
"Centrale de la Sarcelle","SEBJ","150 MW","hydro","run-of-the-river",Q2944504,,
"Halkirk Wind Power Facility","Capital Power","150 MW","wind",,,,
"Parc éolien du Massif du Sud","Enbridge et EDF Énergies Nouvelles","150 MW","wind",,,,
"Point Tupper Generating Station","Nova Scotia Power","150 MW","coal","combustion",Q7208178,,
"East Toba River Hydroelectric Project","Innergex","147 MW","hydro",,Q61375449,,
"Hand Hills Wind Project","BlueEarth Renewables","145 MW","wind",,,,
"Pine Portage Generating Station",,"145 MW","hydro","run-of-the-river",Q65211675,,
"Chenaux Station","Ontario Power Generation","144 MW","hydro",,Q11963506,,
