name,operator,output,source,method,wikidata_id,latitude,longitude
"Maxim Cogeneration Powerhouse","Maxim Power Corporation","7.40 MW","gas","combustion",,,
"Snare Falls","Northwest Territories Power Corporation","7.40 MW","hydro","run-of-the-river",,,
"Centrale Lefrançois","Innergex inc.","7.20 MW","hydro","run-of-the-river",,,
"Chebucto Terence Bay Wind Farm","Chebucto Terence Bay Wind Farm","7.20 MW","wind","wind_turbine",,,
"Avon","Nova Scotia Power","7.00 MW","hydro","water-storage",,,
"Burritts Rapids Solar Farm","Canadian Solar","7.00 MW","solar","photovoltaic",,,
"Nictaux Falls","Nove Scotia Power","7.00 MW","hydro","water-storage",,,
"Sunningdale 1 Solar Energy Project","RE Sunningdale 1 ULC","7.00 MW","solar","photovoltaic",,,
"Sunningdale 1 Solar Energy Project","RE Sunningdale 1 ULC","7.00 MW","solar","photovoltaic",,,
"Dawson Diesel Facility","Yukon Energy Corporation","6.50 MW","oil","combustion",,,
"Heywood Generating Station.","St. Catharines Hydro Generation","6.50 MW","hydro","run-of-the-river",,,
"Midhurst 4","Recurrent Energy","6.50 MW","solar","photovoltaic",,,
"Orillia 3","Recurrent Energy","6.50 MW","solar","photovoltaic",,,
"Orillia 3 Solar","Orillia 3 ULC","6.50 MW","solar","photovoltaic",,,
"Roseplain Solar Farm","Roseplain General Partner 1 Inc. Roseplain General Partner 2 Inc. operating as Roseplain Solar Farm Partnership (Penn Energy)","6.50 MW","solar","photovoltaic",,,
"Sinnott Wind Farm","TransAlta Renewables","6.50 MW","wind",,,,
"Smiths Falls 3 Solar Facility","Recurrent Energy","6.50 MW","solar","photovoltaic",,,
"[unnamed]","Newfoundland Power","6.50 MW","hydro","water-storage",,,
"Dune-du-Nord","Intermunicipal board Gaspésie Magdalen Islands","6.40 MW","wind","wind_turbine",,,
"Cape Broyle Generating Station","Newfoundland Power","6.28 MW","hydro","water-storage",,,
"Paradise Hydroelectric","Nova Scotia Power","6.20 MW","hydro","water-storage",,,
"Kuujjuaq Power Plant","Hydro-Québec","6.01 MW","diesel","combustion",,,
"Amherst Community Wind","Natural Forces","6.00 MW","wind","wind_turbine",,,
"Doran Taylor Hydro","Summit Power","6.00 MW","hydro","water-storage",,,
"Elmsdale Battey Storage","Nova Scotia Power","6.00 MW","battery",,,,
"Hardwood Lands Community Wind Farm","Scotian Wind","6.00 MW","wind","wind_turbine",,,
"Kap Solar Project","Ontario Solar PV Fields","6.00 MW","solar","photovoltaic",,,
"Mahone Bay Solar Plant","Town of Mahone Bay","6.00 MW","solar","photovoltaic",,,
"Martock Ridge Wind Farm",,"6.00 MW","wind","wind_turbine",,,
"Maryvale Wind","Maryvale Wind","6.00 MW","wind","wind_turbine",,,
"Moresby Lake IPP",,"6.00 MW","hydro",,,,
"Raglan Mine",,"6.00 MW","wind","wind_turbine",,,
"Seymour Generating Station","Peterborough Utilities","6.00 MW","hydro","run-of-the-river",,,
"Smiths Falls 1 Solar Facility","Recurrent Energy","6.00 MW","solar","photovoltaic",,,
"Lookout Brook Hydro Plant","Newfoundland Power","5.80 MW","hydro","water-storage",,,
"Sakwi Creek Hydro Project","CC&L Infrastructure;WindRiver Power Corporation","5.50 MW","hydro","run-of-the-river",,,
"Centrale McDougall","R.S.P. Énergie inc.","5.40 MW","hydro","run-of-the-river",,,
"Madawaska Hydro-Dam Fraser Plant","Edmundston Energy","5.30 MW","hydro","run-of-the-river",,,
"Petty Harbour Generating Station","Newfoundland Power","5.30 MW","hydro","water-storage",,,
"Alderville First Nation Solar Facility","Alderville First Nation","5.00 MW","solar","photovoltaic",,,
"Centrale électrique",,"5.00 MW","biomass",,,,
"Enbridge Tilbury","Enbridge Income Fund","5.00 MW","solar","photovoltaic",,,
"Hawke's Bay",,"5.00 MW","diesel","combustion",,,
"Kemptown Wind Farm","Affinity Wind LP","5.00 MW","wind","wind_turbine",,,
"Laurie River Generating Station",,"5.00 MW","hydro",,,,
"Laurie River Generating Station Two",,"5.00 MW","hydro",,,,
"Malay Falls Hydroelectric Plant","Nova Scotia Power","5.00 MW","hydro","water-storage",,,
"Mayo A Hydro Plant","Yukun Energy","5.00 MW","hydro","water-storage",,,
"Mayo Generating Facility","Yukon Energy Corporation","5.00 MW","hydro",,,,
"NRGreen Loreburn Heat Recovery Facility","NRGreen Power Limited Partnership","5.00 MW","gas","thermal",,,
"Ruth Falls Hydro Station","Nova Scotia Power","5.00 MW","hydro","water-storage",,,
"St. Croix Hydro","Minas Energy","5.00 MW","hydro","run-of-the-river",,,
"Vanzwolf Solar Farm","Rainy River First Nations","5.00 MW","solar","photovoltaic",,,
"Waubaushene 5","Recurrent Energy","5.00 MW","solar","photovoltaic",,,
"Wellington Power Station","SaskPower","5.00 MW","hydro","water-storage",,,
"Limerock Wind","Affinity Wind","4.99 MW","wind","wind_turbine",,,
"Blanc-Sablon","Hydro-Québec","4.90 MW","diesel","combustion",,,
"Centrale Blanc-Sablon","Hydro-Québec","4.90 MW","diesel","combustion",,,
"Minicentrale Thibaudeau-Ricard","Shipiss Inc.","4.90 MW","hydro",,,,
"Berwick Solar Garden","Alternative Resource Energy Authority","4.80 MW","solar","photovoltaic",,,
"Centrale de Donnacona","Société Hydro Donnacona, S.E.N.C","4.80 MW","hydro","run-of-the-river",,,
"Barrachois Community Wind Farm","Natural Forces Wind","4.70 MW","wind","wind_turbine",,,
"Cameron Falls","Evolugen","4.70 MW","hydro","run-of-the-river",,,
"Brian J. Gallagher Generating Station","Mississippi River Power Corporation","4.60 MW","hydro","run-of-the-river",,,
"Fairmont Wind Project","Wind4All","4.60 MW","wind","wind_turbine",,,
"Ketch Harbour Wind Power Project",,"4.60 MW","wind","wind_turbine",,,
"North Power House","McGill University","4.50 MW","gas","combustion",,,
"Snare Cascades Hydro Plant","Northwest Territories Power Corporation","4.30 MW","hydro","run-of-the-river",,,
"London Street Generating Station","Peterborough Utilties","4.10 MW","hydro","run-of-the-river",,,
"Napier Wind Farm","wpd Canada","4.10 MW","wind",,,,
"Site nordique expérimental CORUS",,"4.10 MW","wind","wind_turbine",,,
"Hagues Reach Generating Station","Ontario Power Generation","4.00 MW","hydro","run-of-the-river",,,
"Hillside Boularderie Wind","Natural Forces","4.00 MW","wind","wind_turbine",,,
"Hound Chutes","Ontario Power Generation","4.00 MW","hydro","run-of-the-river",,,
"Nine Mile River Wind","Scotian Wind","4.00 MW","wind","wind_turbine",,,
"Sidney","Ontario Power Generation","4.00 MW","hydro","run-of-the-river",,,
"Whynotts Wind","Whynotts Wind Limited","4.00 MW","wind","wind_turbine",,,
"Natuashish","Mushuau Innu First Nation","4.00 MW","diesel","combustion",,,
"Stan Adamson Power House",,"3.90 MW","hydro",,,,
"Nain Power Plant","Newfoundland and Labrador Hydro","3.76 MW","diesel","combustion",,,
"New Chelsea","Newfoundland Power","3.70 MW","hydro","water-storage",,,
"Higgins Mountain Wind","Sprott Power Corporation","3.60 MW","wind","wind_turbine",,,
"Liverpool Wind Energy Storage","Watts Wind Energy","3.60 MW","wind","wind_turbine",,,
"Springhill Wind","Sprott Power Corporation","3.60 MW","wind","wind_turbine",,,
"Kangiqiniq Power Plant","Qulliq Energy Corporation","3.55 MW","diesel","combustion",,,
"Midhurst 2","Recurrent Energy","3.50 MW","solar","photovoltaic",,,
"Midhurst 3","Recurrent Energy","3.50 MW","solar","photovoltaic",,,
"Midhurst 6","Recurrent Energy","3.50 MW","solar","photovoltaic",,,
"Methals Power Staion","Black River Hydro","3.40 MW","hydro","water-storage",,,
"Downtown District Energy Centre","Calgary District Heating Inc.","3.30 MW","gas","combustion",,,
"Barrington Wind Power","Watts Wind Energy","3.20 MW","wind","wind_turbine",,,
"Greenfield Wind","Affinity Wind","3.20 MW","wind","wind_turbine",,,
"Porters Lake Wind Power","Watts Wind Energy","3.20 MW","wind","wind_turbine",,,
"Second Falls Dam","Edmundston Energy","3.20 MW","hydro","run-of-the-river",,,
"Cambridge Bay Power Plant","Qulliq Energy Corporation","3.11 MW","diesel","combustion",,,
"Balsam Lake Solar Farm","Balsam Lake Green Energy","3.00 MW","solar","photovoltaic",,,
"Frankford Generation Station","Ontario Power Generation","3.00 MW","hydro","run-of-the-river",,,
"Lockston Plant","Newfoundland Power","3.00 MW","hydro","water-storage",,,
"Mine Raglan",,"3.00 MW","wind","hydrogen storage",,,
"[unnamed]","Capstone Infrastructure","3.00 MW","hydro",,,,
"Hydro Quebec Puvirnituq","Hydro-Québec","2.90 MW","oil","combustion",,,
"Centrale de Port-Menier","Hydro-Québec","2.80 MW","oil","combustion",,,
"Centrale hydroélectrique Daniel Larocque","Électricité Algonquin Power","2.72 MW","hydro","run-of-the-river",,,
"Heart's Desire","Newfoundland Power","2.70 MW","hydro","water-storage",,,
"Topsail Generating Station","Newfoundland Power Inc.","2.60 MW","hydro","water-storage",,,
"Charlottetown Diesel Generating Station","Newfoundland and Labrador Hydro","2.54 MW","diesel","combustion",,,
"Gaetz Brook Community Wind Farm","Natural Forces","2.35 MW","wind","wind_turbine",,,
"New Victoria Community Wind Power","Celtic Current","2.35 MW","wind","wind_turbine",,,
"Gjoa Haven","Qulliq Energy Corporation","2.32 MW","oil","combustion",,,
"Bateston Wind Farm","Celtic Current","2.30 MW","wind","wind_turbine",,,
"Mulgrave Community Wind","Celtic Current","2.30 MW","wind","wind_turbine",,,
"Pictou Landing Wind","Wind4All","2.30 MW","wind","wind_turbine",,,
"Pond Inlet Power Plant","Qulliq Energy Corporation","2.25 MW","diesel","combustion",,,
"Baker Lake Power Plant","Qulliq Energy Corporation","2.24 MW","diesel","combustion",,,
"Kugluktuk Power Plant","Qulliq Energy Corporation","2.22 MW","diesel","combustion",,,
"Tuktoyaktuk Power Plant","Northwest Territories Power Corporation","2.21 MW","diesel","combustion",,,
"3NE Solar Farm","Three Nations Energy","2.20 MW","solar","photovoltaic",,,
"Pouvoir Riverin","Algonquin Power","2.01 MW","hydro","run-of-the-river",,,
"Amherst Solar Garden","Nova Scotia Power","2.00 MW","solar","photovoltaic",,,
"Auburn Generating Station","Ontario Power Generation","2.00 MW","hydro","run-of-the-river",,,
"Bioenergy Research & Demonstration Facility",,"2.00 MW","biomass;gas","gasification",,,
"Black Pond","Scotian Wind","2.00 MW","wind","wind_turbine",,,
"Cape Mabou","Black River Wind","2.00 MW","wind","wind_turbine",,,
"Creignish Rear Wind Farm","Black River Wind","2.00 MW","wind","wind_turbine",,,
"East Angus","Boralex","2.00 MW","hydro","run-of-the-river",,,
"Galetta Hydro Station","TransAlta","2.00 MW","hydro","run-of-the-river",,,
"Green Acres Solar Farm","Hutterite Colony","2.00 MW","solar","photovoltaic",,,
"Hybridyne Solar Project","Hybridyne Power Generation Site A Inc.","2.00 MW","solar","photovoltaic",,,
"Hydo Quebec Kangiqsualujjuaq","Hydo Quebec","2.00 MW","diesel","combustion",,,
"Isle Madame Community Wind","Scotian Wind","2.00 MW","wind","wind_turbine",,,
"Kaizer Meadow Wind","Municipality of the District of Chester","2.00 MW","wind","wind_turbine",,,
"Lakefield Hydroelectric Generating Station",,"2.00 MW","hydro",,,,
"Little River Harbour Community Wind","Scotian Wind","2.00 MW","wind","wind_turbine",,,
"Merrickville Generating Station","Ontario Power Generation","2.00 MW","hydro","water-storage",,,
"Parker Mountain Wind Farm","Scotian Wind","2.00 MW","wind","wind_turbine",,,
"Ruby Farms","Ruby Farms","2.00 MW","solar","photovoltaic",,,
"Saint Rose Community Wind","Scotian Wind","2.00 MW","wind","wind_turbine",,,
"Tusket Hydroelectric Station","Nova Scotia Power","2.00 MW","hydro","water-storage",,,
"Walton Community Wind","Scotian Wind","2.00 MW","wind","wind_turbine",,,
"[unnamed]",,"2.00 MW","biomass","combustion",,,
"Qulliq Energy Corporation Clyde River","Qulliq Energy Corporation","1.91 MW","diesel","combustion",,,
"Kingston Mills Generating Station","Energy Ottawa","1.90 MW","hydro","water-storage",,,
"Point Aconi Wind Project","Celtic Current","1.90 MW","wind","wind_turbine",,,
"Sa/See Energy","Copper Niisuu LP and White River First Nation","1.90 MW","solar","photovoltaic",,,
"Qulliq Energy Corp Taloyoak","Qulliq Energy Corp","1.84 MW","diesel","combustion",,,
"Fort Mcpherson","Northwest Territories Power Corporation","1.83 MW","diesel","combustion",,,
"Aklavik","Northwest Territories Power Corporation","1.80 MW","diesel","combustion",,,
"Dickie Brook","Nova Scotia Power","1.80 MW","hydro","water-storage",,,
"Kinngait Power Station","Qulliq Energy Corporation","1.80 MW","oil","combustion",,,
"Qikiqtarjuaq Power Plant","Qulliq Energy Corporation","1.77 MW","diesel","combustion",,,
"CPKCR Solar Farm","Canadian Pacific Kansas City Railway","1.76 MW","solar","photovoltaic",,,
"Baddeck Community Wind","Scotian Wind","1.70 MW","wind","wind_turbine",,,
"Antigonish Community Solar Garden","Town of Antigonish","1.65 MW","solar","photovoltaic",,,
"Shediac Smart Energy Community Project","NB Power","1.63 MW","solar","photovoltaic",,,
"Avondale Wind Farm","Northumberland Wind Field Inc","1.60 MW","wind","wind_turbine",,,
"Digby Limited Wind Farm",,"1.60 MW","wind","wind_turbine",,,
"Fitzpatrick Mountain Wind","Capstone Infrastucture","1.60 MW","wind","wind_turbine",,,
"Glace Bay & Donkin Wind Farm","Cape Breton Power","1.60 MW","wind","wind_turbine",,,
"Mine Raglan",,"1.60 MW","diesel","combustion",,,
"Naujaat","Qulliq Energy Corporation","1.60 MW","oil","combustion",,,
"Centrale Robert-A.-Boyd","Hydro-Québec","1.50 MW","solar","photovoltaic",,,
"Centrale solaire Robert A. Boyd","Hydro-Québec","1.50 MW","solar","photovoltaic",,,
"Watt Section","Watts Wind Energy","1.50 MW","wind","wind_turbine",,,
"Cartwright","Newfoundland and Labrador Hydro","1.48 MW","diesel","combustion",,,
"Sanikiluaq Power Plant","Qulliq Energy Corporation","1.43 MW","oil","combustion",,,
"Fort Liard Power Station","Northwest Territories Power Corporation","1.32 MW","diesel","combustion",,,
"Coral Harbour","Qulliq Energy Corporation","1.31 MW","diesel","combustion",,,
"Tŝilhqot’in Solar Farm","Tŝilhqot'in Nation","1.25 MW","solar","photovoltaic",,,
"Cascade Street Generating Station","Bracebridge Generation","1.20 MW","hydro",,,,
"Ramea Wind Diesel",,"1.20 MW","wind","wind_turbine",,,
"Prise d'eau Bersimis 1","Hydro-Québec","1.18 MW","hydro","water-storage",,,
"Electrical Generating Station","Northwest Territories Power Corporation","1.10 MW","diesel","combustion",,,
"Hydro Quebec Power Plant Quaqtaq","Hydro-Québec","1.10 MW","diesel","combustion",,,
"Qulliq Energy Corporation   Arctic Bay","Qulliq Energy Corporation","1.10 MW","diesel","combustion",,,
"West Elgin Solar Farm","Intech","1.10 MW","solar","photovoltaic",,,
"Arctic Bay","Qulliq Energy Corporation","1.07 MW","diesel","combustion",,,
"Qulliq Energy Corporation  Whale Cove","Qulliq Energy Corporation","1.07 MW","diesel","combustion",,,
"SunMine","Teck Resources Limited","1.05 MW","solar","photovoltaic",,,
"Black Tickle & Domino","Newfoundland and Labrador Hydro","1.00 MW","diesel","combustion",,,
"Fisher River","Fisher River Cree Nation","1.00 MW","solar","photovoltaic",,,
"Hydro Quebec Ivujivik","Hydro-Québec","1.00 MW","diesel","combustion",,,
"Point Aconi 2","Celtic Current","1.00 MW","wind","wind_turbine",,,
"Roseway Hydro","Nova Scotia Power","1.00 MW","hydro","water-storage",,,
"WEICan R&D Park","Wind Energy Institute of Canada","1.00 MW","battery",,,,
"[unnamed]",,"1.00 MW","battery",,,,
"Spiddle Hill Wind Farm","Colchester Cumberland Wind Field","950 kW","wind","wind_turbine",,,
"Cheticamp Wind Project",,"900 kW","wind","wind_turbine",,,
"Sree Vyah Solar Project","Vuntut Gwitchin First Nation","900 kW","solar","photovoltaic",,,
"Tiverton Riverhurst",,"900 kW","wind","wind_turbine",,,
"ᐊᐅᔪᐃᑦᑐᖅ Grise Fiord Power Plant","Qulliq Energy Corporation","900 kW","oil","combustion",,,
"IKEA Halifax","IKEA","850 kW","solar","photovoltaic",,,
"Paulatuk","NWT Power Corporation","820 kW","oil","combustion",,,
"Marshville",,"800 kW","wind","wind_turbine",,,
"Ranney Falls Generating Station 1","Ontario Power Generation","800 kW","hydro","run-of-the-river",,,
"ᐊᐅᐸᓗᒃ (ᒐᕙᒪᖃᕐᕕᐅᔪᖅ) / Aupaluk (village)","Hydo Quebec","800 kW","diesel","combustion",,,
"Sachs Harbour (Ikaahuk)","NWT Power Corporation","795 kW","diesel","combustion",,,
"Kagawong Hydroelectric Generating Station","Oakville Hydro Energy Services","750 kW","hydro","run-of-the-river",,,
"St. Brendan's","Newfoundland and Labrador Hydro","712 kW","diesel","combustion",,,
"Grand Etang Wind Farm","Nova Scotia Power","660 kW","wind","wind_turbine",,,
"Ramea Wind-Hydrogen Diesel",,"625 kW","wind","wind_turbine",,,
"Northwest Territories Power CorporationvGamèti","Northwest Territories Power Corporation","612 kW","diesel","combustion",,,
"Brewers Mills Generating Station","Hydro One","600 kW","hydro","run-of-the-river",,,
"Centrale Drummond","Hydro-Sherbrooke","600 kW","hydro",,,,
"Douglas Generating Station","Multistream Power Corporation","600 kW","hydro","run-of-the-river",,,
"Harmony","Nova Scotia Power","600 kW","hydro","water-storage",,,
"Little Brook Wind Turbine","Nova Scotia Power","600 kW","wind","wind_turbine",,,
"Eskasoni Solar","Eskasoni Renewables","583 kW","solar","photovoltaic",,,
"Victoria Power Station","NL Power","550 kW","hydro","run-of-the-river",,,
"Tsay Keh Dene Bioenergy Plant","Tsay Keh Dene First Nation","530 kW","biomass","combustion",,,
"Factorydale Hydro","Berwick Power Commission","520 kW","hydro","water-storage",,,
"Port Union Plant","Newfoundland Power","511 kW","hydro","water-storage",,,
"Conestoga College Solar Farm","Conestoga College","500 kW","solar","photovoltaic",,,
"Fall River Hydro Plant","Nova Scotia Power","500 kW","hydro","water-storage",,,
"ZooShare Biogas Facility",,"500 kW","biogas","anaerobic_digestion",,,
"Emerald Energy from Waste","Emerald Energy From Waste Inc.","420 kW","waste","thermal",,,
"Roddickton Hydro Plant","Newfoundland Labrador Hydro","400 kW","hydro","run-of-the-river",,,
"Fall Pond Hydro Electric Station","Newfoundland Power","350 kW","hydro","water-storage",,,
"Glooscap Landing Micro-Grid","Glooscap Energy","330 kW","solar","photovoltaic",,,
"Taltson Emergency Standby Diesel Generator","Northwest Territories Power Corporation","300 kW","diesel","combustion",,,
"Municipality of the County of Antigonish","Municipality of the County of Antigonish","297 kW","solar","photovoltaic",,,
"WEICan R&D Park Auxiliary","Wind Energy Institute of Canada","275 kW","diesel","combustion",,,
"Souris Harbour Authority Eastern Cold Storage Turbine","Souris Harbour Authority Eastern Cold Storage","250 kW","wind",,,,
"Colville Lake","Northwest Territories Power Corporation","240 kW","diesel","combustion",,,
"Ecology Action Centre","Ecology Action Centre","231 kW","solar","photovoltaic",,,
"Pabineau First Nation Community Health Center","Pabineau First Nation","231 kW","solar","photovoltaic",,,
"Masstown Market","Masstown Market","230 kW","solar","photovoltaic",,,
"Sable Island","Parks Canada","210 kW","diesel","combustion",,,
"Cavendish Farms Wellness Center","Cavendish Farms Wellness Center","200 kW","solar","photovoltaic",,,
"Eagle Lake Micro Hydro Project","Pacific Cascade Hydro Inc","200 kW","hydro","water-storage",,,
"Silversmith","Silversmith Power and Light","200 kW","hydro",,,,
"Dome Road Solar Independent Power","Klondike Development Organization","199 kW","solar","photovoltaic",,,
"Canada Games Complex","Cape Breton University and Tugliq","150 kW","solar","photovoltaic",,,
"Glooscap Community Solar","Glooscap Energy","150 kW","solar","photovoltaic",,,
"Riverton Wind","Municipality of the County of Pictou","150 kW","wind",,,,
"Snare Forks Standby Generator","Northwest Territories Power Corporation","150 kW","diesel","combustion",,,
"Natoaganeg School","Eel Ground First Nation","148 kW","solar","photovoltaic",,,
"IDEA and Design Building","Dalhousie University","125 kW","solar","photovoltaic",,,
"Bedford Institute of Oceanography","NRCan","117 kW","solar","photovoltaic",,,
"Halifax Water Aerotech Waste Water Treatment Plant",,"117 kW","solar","photovoltaic",,,
"Bayside Travel Centre","Paqtnkek Mi’kmaw Nation","115 kW","solar","photovoltaic",,,
"WEICan R&D Park Solar","Wind Energy Institute of Canada","109 kW","solar","photovoltaic",,,
"East Pubnico",,"103 kW","solar","photovoltaic",,,
"Cardigan Consolidated School",,"100 kW","solar","photovoltaic",,,
"Day & Ross","Day & Ross","100 kW","solar","photovoltaic",,,
"Fort Simpson Solar Energy Project","Northwest Territories Power Corporation","100 kW","solar","photovoltaic",,,
"I Deveau Fisheries","I Deveau Fisheries","100 kW","solar","photovoltaic",,,
"Municipality of the County of Colchester","Municipality of the County of Colchester","100 kW","wind","wind_turbine",,,
"Universite Sainte Anne","Universite Sainte Anne","100 kW","wind","wind_turbine",,,
"I Deveau Fisheries","I Deveau Fisheries","97 kW","solar","photovoltaic",,,
"Membertou Sport and Wellness Centre","Membertou First Nation","91 kW","solar","photovoltaic",,,
"Millbrook","Millbrook First Nation","90 kW","solar","photovoltaic",,,
"Halifax WWTF","Halifax Regional Water Commission","88 kW","solar","photovoltaic",,,
"Pictour Landing First Nation School","Pictou Landing First Nation","88 kW","solar",,,,
"Potlotek First Nation Band Office","Potlotek First Nation","85 kW","solar","photovoltaic",,,
"Mackintosh Depot","Halifax Regional Municipality","80 kW","solar","photovoltaic",,,
"Pelee Island Backup Generator","Hydro One","80 kW","diesel","combustion",,,
"Yarmouth 3","Acadia First Nation","80 kW","solar","photovoltaic",,,
"Rockingham United Church","Rockingham United Church","78 kW","solar","photovoltaic",,,
"Paqtnkek Community Hall","Paqtnkek Mi'kmaw Nation","77 kW","solar","photovoltaic",,,
"Centre des pensions du gouvernement du Canada","Government of Canada","75 kW","solar","photovoltaic",,,
"Don Henderson Memorial Sportsplex","Municipality of Colchester","75 kW","solar","photovoltaic",,,
"Rath Eastlink Community Center","Municipality of Colchester","75 kW","solar","photovoltaic",,,
"Seakist","Glooscap First Nation","75 kW","solar","photovoltaic",,,
"Shelburne Campus","Nova Scotia Community College","75 kW","solar","photovoltaic",,,
"Strait Area Campus","Nova Scotia Community College","75 kW","solar","photovoltaic",,,
"Municipality of the County of Kings","Municipality of the County of Kings","72 kW","solar","photovoltaic",,,
"Pictou Landing First Nation Training Centre","Pictou Landing First Nation","72 kW","solar","photovoltaic",,,
"Stewiacke Solar Garden",,"72 kW","solar","photovoltaic",,,
"Webster Farms","Annapolis Valley First Nation","69 kW","solar","photovoltaic",,,
"Dartmouth North Community Centre","Halifax Regional Municipality.","69 kW","solar","photovoltaic",,,
"Heatherton Community Center",,"65 kW","solar","photovoltaic",,,
"Tulita","Tulita Land Corporation","57 kW","solar","photovoltaic",,,
"Sacred Heart School","Sacred Heart School","55 kW","solar","photovoltaic",,,
"Colville Lake Solar Project","Northwest Territories Power Corporation","54 kW","solar","photovoltaic",,,
"Atlantic School of Theology","Atlantic School of Theology","50 kW","solar","photovoltaic",,,
"IDEA Building","Dalhousie University","50 kW","solar","photovoltaic",,,
"Joggins",,"50 kW","wind","wind_turbine",,,
"Le Centre Pombcoup","Municipality of the District of Argyle","50 kW","solar","photovoltaic",,,
"Municipality of the District of Shelburne Turbine","Municipality of the District of Shelburne","50 kW","wind","wind_turbine",,,
"TCRCE Operations","Municipality of the District of Yarmouth","50 kW","solar","photovoltaic",,,
"Valley Region SWRM Authority`","Valley Region SWRM Authority","50 kW","wind","wind_turbine",,,
"Yarmouth County Solid Waste Park","Town of Yarmouth, the Municipality of Yarmouth, and the Municipality of Argyle","50 kW","solar","photovoltaic",,,
"Yarmouth Fire Department","Town of Yarmouth","50 kW","solar","photovoltaic",,,
"Woodlawn United Church","Woodlawn United Church","48 kW","solar","photovoltaic",,,
"Fire Station 62 - Williamswood","Halifax Regional Municipality","47 kW","solar","photovoltaic",,,
"Milford Community Center",,"45 kW","solar","photovoltaic",,,
"Town of Wolfville","Town of Wolfville","45 kW","solar","photovoltaic",,,
"Kinkora Wind","Community of Kinkora","40 kW","wind","wind_turbine",,,
"[unnamed]","Hydro-Québec","40 kW","diesel","combustion",,,
"Ivany Campus","Nova Scotia Community College","39 kW","solar","photovoltaic",,,
"Knox United","Knox United","38 kW","solar","photovoltaic",,,
"Shediac Multipurpose Centre","Town of Shediac","38 kW","solar","photovoltaic",,,
"Sackville Public Library","Halifax Regional Municipality","35 kW","solar","photovoltaic",,,
"The Hall","Parrsboro Band Association","35 kW","solar","photovoltaic",,,
"Orchard PRV Chamber","Halifax Regional Water","34 kW","hydro",,,,
"Dawson City Water Treatment Plant",,"28 kW","solar","photovoltaic",,,
"Fundy Ocean Research Centre for Energy","Fundy Ocean Research Centre for Energy","25 kW","solar","photovoltaic",,,
"West Pubnico Wastewater Treatment Plant","Municipality of the District of Argyle","25 kW","solar","photovoltaic",,,
"Atlantic Division Association Canoe Kayak Canada``","Atlantic Division Association Canoe Kayak Canada``","23 kW","solar","photovoltaic",,,
"Plymouth Community Centre","Plymouth Community Centre","21 kW","solar","photovoltaic",,,
"Atlantic Superstore Highway 7 Turbine","Loblaws","20 kW","wind","wind_turbine",,,
"Physical Science Complex","St. Francis Xavier University","18 kW","solar","photovoltaic",,,
"St George and St Andrew United Church",,"15 kW","solar","photovoltaic",,,
"Kingston Lions Club","Kingston Lions Club","15 kW","solar","photovoltaic",,,
"Waycobah First Nation Band Council","Waycobah First Nation","15 kW","solar","photovoltaic",,,
"Fire Station 3","Halifax Regional Municipality","12 kW","solar","photovoltaic",,,
"Alderney Gate Public Library","Halifax Regional Municipality","12 kW","solar","photovoltaic",,,
"Northbrook Police Training Facility","Halifax Regional Municipality.","12 kW","solar","photovoltaic",,,
"The Hospice Society of Greater Halifax","The Hospice Society of Greater Halifax","12 kW","solar","photovoltaic",,,
"Bloomfield Centre","St. Francis Xavier University","10 kW","solar","photovoltaic",,,
"The Academy","Clean Annapolis River Project","10 kW","solar","photovoltaic",,,
"Fort Needham Memorial Park Washroom","Halifax Regional Municipality","9 kW","solar","photovoltaic",,,
"Sir Sanford Fleming Park Canteen","Halifax Regional Municipality","9 kW","solar","photovoltaic",,,
"Village of Canning",,"6 kW","solar","photovoltaic",,,
"Chocolate Lake Beach Washroom","Halifax Regional Municipality","4 kW","solar","photovoltaic",,,
"North Commons Public Washroom","Halifax Regional Municipality","3 kW","solar","photovoltaic",,,
"Shepard Solar Park","City of Calgray","1 kW","solar","photovoltaic",,,
"Alain-Lemaire Solar Park","RSP Energie Inc","","solar","thermal",,,
"Alberta Pacific Forest Industries",,"","biomass",,,,
"Alexandra District Energy Utility","Lulu Island Energy Company","","gas;geothermal","combustion;geothermal",,,
"Almonte Electric Plant","Mississippi River Power Corp","","hydro","run-of-the-river",,,
"Aurora Mine Power Plant",,"","gas","combustion",,,
"Awasis Solar Project",,"","solar","photovoltaic",,,
"Bala Generating Station","Ontario Power Generation","","hydro","run-of-the-river",,,
"Bear Creek Cogeneration Power Plant",,"","gas;biomass","combustion",,,
"Big Beaver Falls Generating Station",,"","hydro","run-of-the-river",,,
"Boat Bluff",,"","diesel","combustion",,,
"Bracebridge Falls Generating Station","Bracebridge Generating Ltd","","hydro","run-of-the-river",,,
"Brandon Manitoba Gas Power Plant",,"","gas","combustion",,,
"Burnaby Mountain District Energy Utility","Corix Multi-Utility Services Inc","","biomass","combustion",,,
"Calstock Power Plant",,"","biomass",,,,
"Camp Hill Power Plant",,"","","combustion",,,
"Camp Three Rapids Generating Station",,"","hydro","run-of-the-river",,,
"Campbellford Generating Station","Peterborough Utilities","","hydro",,,,
"Cardinal Power Plant",,"","gas","combustion",,,
"Carson Creek Power Generation",,"","gas","combustion",,,
"Central Utilities Plant","University of Guelph","","gas","combustion",,,
"Centrale Dufferin","Boralex","","hydro","water-storage",,,
"Centrale Fraser","Génération Hydro","","hydro",,,,
